,address,beds,phone,price,title
0,"401 Amberson Ave, Pittsburgh, PA 15232",1-2 Bed,412-208-4328,"$1,395 - 1,860",Shadyside Commons
1,"1876 Parkview Blvd, Pittsburgh, PA 15217",1-2 Bed,844-228-9323,"$1,390 - 2,050",The Gateway at Summerset
2,"6350 Penn Ave, Pittsburgh, PA 15206",Studio - 2 Bed,844-814-2588,"$1,740 - 3,080",Bakery Living Orange
3,"4107 Willow St, Pittsburgh, PA 15201",Studio - 2 Bed,412-437-2173,"$1,313 - 3,128",The Foundry at 41st
4,"1501 Meredith Dr, Pittsburgh, PA 15205",1-3 Bed,412-533-5788,"$1,439 - 2,342",The Ridge at Robinson Apartments
5,"1100 Liberty Ave, Pittsburgh, PA 15222",Studio - 2 Bed,866-350-8444,"$1,203 - 2,879",The Pennsylvanian
6,"325 Elizabeth Dr, Pittsburgh, PA 15220",Studio - 3 Bed,877-893-2069,"$970 - 4,056",City Vista
7,"300 Heinz St, Pittsburgh, PA 15212",1-3 Bed,412-847-5081,"$1,195 - 3,725",Heinz Lofts
8,"1909 Waterfront Pl, Pittsburgh, PA 15222",1-2 Bed,844-779-8909,"$1,420 - 2,955",Edge 1909
9,"5522 Baum Blvd, Pittsburgh, PA 15232",Studio - 3 Bed,844-762-5514,"$952 - 3,042",Ollie at Baumhaus
10,"5492 Youngridge Dr, Pittsburgh, PA 15236",Studio - 3 Bed,412-532-4826,"$540 - 1,465",The Alden
11,"3922 Foster St, Pittsburgh, PA 15201",Studio - 3 Bed,844-831-9422,"$995 - 3,080",Arsenal 201
12,"26 S 28th St, Pittsburgh, PA 15203",1-2 Bed,844-430-5599,"$995 - 1,374",Live South Side
13,"1100 Penn Center Blvd, Pittsburgh, PA 15235",Studio - 2 Bed,888-864-7816,"$700 - 1,430",Brentmoor at Penn Center
14,"300 Chatham Park Dr, Pittsburgh, PA 15220",Studio - 3 Bed,412-253-2894,"$785 - 1,800",Carriage Park Apartments
15,"2626 S Tunnel Blvd, Pittsburgh, PA 15203",Studio - 3 Bed,412-253-6497,"$1,290 - 2,800",SouthSide Works City Apartments
16,"850 Baldwin St, Pittsburgh, PA 15234",1-3 Bed,844-253-6725,"$1,100 - 1,590",Castle Ridge Apartments
17,"1100 Village Dr, Pittsburgh, PA 15241",1-3 Bed,703-635-7163,"$1,075 - 2,575",The Ashby at South Hills Village Station
18,"2501 Liberty Ave, Pittsburgh, PA 15222",1-2 Bed,412-437-2361,"$1,395 - 2,455",The Brake House Lofts
19,"2349 Railroad St, Pittsburgh, PA 15222",1-3 Bed,866-626-1231,"$1,635 - 7,898",The Cork Factory Lofts
20,"475 Garner Ct, Pittsburgh, PA 15213",1-3 Bed,844-209-9199,"$1,095 - 2,175",Oak Hill Apartments
21,"651 Oaklynn Ct, Pittsburgh, PA 15220",Studio - 3 Bed,412-253-4242,"$730 - 1,490",Crane Village Apartments
22,"717 Liberty Ave, Pittsburgh, PA 15222",1-2 Bed,412-223-9839,"$1,250 - 1,995",The Clark Building
23,"611 William Penn Pl, Pittsburgh, PA 15219",1-3 Bed,412-620-6372,"$1,250 - 2,300",The Residences at the Historic Alcoa Building
24,"2400 Village Rd, Pittsburgh, PA 15205",1-3 Bed,412-533-5758,"$875 - 1,220",Emerald Gardens
25,"272 Shady Ave, Pittsburgh, PA 15206",1-3 Bed,844-823-6344,"$985 - 2,235","Franklin West Apartments, Leasing Office"
26,"100 Park Plaza Dr, Pittsburgh, PA 15229",1-2 Bed,844-654-1244,"$920 - 1,190",North Pointe Commons
27,"80 Sandune Dr, Pittsburgh, PA 15239",Studio - 3 Bed,844-876-0498,"$721 - 1,570",Holiday Park Apartments and Townhomes
28,"3200 Chestnut Ridge Dr, Pittsburgh, PA 15205",1-2 Bed,844-519-0580,"$835 - 1,285",Chestnut Ridge Apartments
29,"275 Oakville Dr, Pittsburgh, PA 15220",Studio - 3 Bed,844-829-9060,"$695 - 1,215",Hyland Hills Apartments
30,"400 5th Ave, Pittsburgh, PA 15219",Studio - 2 Bed,844-459-8552,"$1,153 - 2,501",Kaufmann's Grand on Fifth Avenue
31,"200 Sophia Ave, Pittsburgh, PA 15236",Studio - 2 Bed,844-497-9386,"$625 - 1,515",Crossroad Towers
32,"3030 S Water St, Pittsburgh, PA 15203",1 Bed,412-923-4675,"$1,400 - 1,600",3030 South Water Apartments
33,"100 Briaridge Dr, Pittsburgh, PA 15145",1-2 Bed,877-861-1365,$650 - 850,Briaridge Apartments
34,"200 Adams Dr, Mckees Rocks, PA 15136",1-3 Bed,412-587-4923,"$870 - 1,510",Kennedy Highlands
35,"6105 Spirit St, Pittsburgh, PA 15206",Studio - 2 Bed,877-623-8306,"$1,466 - 7,003",Eastside Bond
36,"3001 McKnight East Dr, Pittsburgh, PA 15237",1-2 Bed,412-499-3576,"$1,250 - 1,514",Cosmopolitan Apartments
37,"5250 Liberty Ave, Pittsburgh, PA 15224",Studio - 3 Bed,844-857-3737,"$1,165 - 3,605",Morrow Park City Apartments
38,"2645 Railroad St, Pittsburgh, PA 15222",Studio - 2 Bed,844-750-1008,"$1,240 - 2,365",The Yards at 3 Crossings
39,"1420 Centre Ave, Pittsburgh, PA 15219",Studio - 2 Bed,412-532-1007,"$1,004 - 2,610",City View
40,"2525-2539 E Carson St, Pittsburgh, PA 15203",1-2 Bed,412-847-5472,"$1,410 - 3,840",Carson Street Commons
41,"10 Allegheny Ctr, Pittsburgh, PA 15212",Studio - 2 Bed,412-253-4253,"$860 - 2,975",Park View Apartments
42,"1800 Fifth Ave, Pittsburgh, PA 15219",2-3 Bed,844-202-0680,"$1,600 - 2,200",Fifth Avenue School Lofts
43,"100 7th St, Pittsburgh, PA 15222",1-2 Bed,888-843-1690,"$1,446 - 4,632",The Encore on 7th Apartments
44,"4101 Bigelow Blvd, Pittsburgh, PA 15213",1-2 Bed,412-307-7720,"$1,050 - 2,450",Schenley Apartments
45,"201 Stanwix St, Pittsburgh, PA 15222",1-2 Bed,844-222-1998,"$1,150 - 1,995",201 Stanwix Street Apartments
46,"2404 Railroad St, Pittsburgh, PA 15222",Studio - 2 Bed,412-567-4141,"$1,242 - 2,316",Lot 24 Apartments
47,"211 Forbes Ave, Pittsburgh, PA 15222",Studio - 2 Bed,844-885-7665,"$1,375 - 3,725",Market Square Place
48,"130 7th St, Pittsburgh, PA 15222",2 Bed,844-586-2302,"$1,725 - 1,750",Century Building
49,"1000 Park West Place, Pittsburgh, PA 15205",1-3 Bed,888-783-7919,"$1,250 - 2,100",Park West 205
50,"3459 Butler St, Pittsburgh, PA 15201",2 Bed,412-253-2202,"$1,900 - 2,440",Doughboy Square Apartments
51,"300 Liberty Ave, Pittsburgh, PA 15222",Studio - 3 Bed,412-345-8286,"$1,330 - 5,995",River Vue
52,"3010 Jane St, Pittsburgh, PA 15203",2 Bed,412-923-4743,"$2,000",Print Shop Lofts
53,"225 Alcoma Blvd, Pittsburgh, PA 15235",1-3 Bed,412-423-5108,$625 - 995,Alcoma on the Green
54,"2633 Fifth Ave, Pittsburgh, PA 15213",1-2 Bed,844-280-5364,"$1,300 - 1,900",Portal Place
55,"121 7th St, Pittsburgh, PA 15222",2 Bed,844-723-3301,"$2,500 - 2,575",Aria Cultural District Lofts
56,"101 Highland Pines Dr, Pittsburgh, PA 15237",Studio - 1 Bed,844-579-8731,$770 - 860,Perrytown Place Apartments
57,"841 California Ave, Pittsburgh, PA 15202",Studio - 2 Bed,412-368-9413,"$840 - 1,651",Avalon Arms Apartments
58,"100 Anderson St, Pittsburgh, PA 15212",1-2 Bed,888-353-5443,"$1,594 - 3,188",North Shore Apartments
59,"112 Hilands Pl, Pittsburgh, PA 15237",2-3 Bed,412-489-4724,"$900 - 1,420",Governors Ridge Apartments
60,"7070 Forward Ave, Pittsburgh, PA 15217",1-2 Bed,412-206-5629,"$1,119 - 1,995",Walnut Towers at Frick Park
61,"501 Riverfront Dr, Pittsburgh, PA 15238",1-3 Bed,412-345-8216,"$1,338 - 2,786",The Docks
62,"2000 Westpointe Dr, Pittsburgh, PA 15205",1-3 Bed,877-627-8509,"$926 - 1,691",Westpointe
63,"100 E West Dr, Pittsburgh, PA 15237",1-2 Bed,844-476-3520,"$841 - 1,812",The Cascades
64,"121 S Highland Ave, Pittsburgh, PA 15206",Studio - 3 Bed,412-308-5384,"$1,522 - 3,187",Walnut on Highland
65,"700 Duncan Ave, Pittsburgh, PA 15237",1-2 Bed,866-719-3405,"$1,062 - 2,404",Club at North Hills
66,"1050 Nineteen North Dr, Pittsburgh, PA 15237",1-3 Bed,844-278-7061,"$759 - 2,458",Nineteen North Apartments & Townhomes
67,"2915 Sidney St, Pittsburgh, PA 15203",Studio - 2 Bed,412-419-1366,"$1,656 - 3,521",Hot Metal Flats
68,"450 Highland Ave, Pittsburgh, PA 15229",2-3 Bed,844-874-5873,"$1,775 - 2,130",Highland Village
69,"5765 Centre Ave, Pittsburgh, PA 15206",Studio - 2 Bed,844-845-4811,"$1,297 - 1,620",Coda on Centre
70,"6201 Broad St, Pittsburgh, PA 15206",1-2 Bed,844-503-5881,"$699 - 1,225",Fairfield Apartments
71,"1411 Grandview Ave, Pittsburgh, PA 15211",1-2 Bed,877-340-0934,"$1,049 - 2,120",Grandview Pointe Apartments
72,"1001 N Negley Ave, Pittsburgh, PA 15206",1-2 Bed,412-436-5519,"$1,090 - 1,325",Highland Park Club Apartments
73,"15 Boulder Dr, Pittsburgh, PA 15239",2 Bed,844-287-6161,$730 - 825,Colony East Townhomes
74,"5700 Bunkerhill St, Pittsburgh, PA 15206",1-2 Bed,844-617-0572,"$1,035 - 1,355",Parklane
