,Unnamed: 0,address,beds,phone,price,title,address_geo,latitude,longitude
0,0,"401 Amberson Ave, Pittsburgh, PA 15232",1-2 Bed,412-208-4328,"$1,395 - 1,860",Shadyside Commons,"401, Amberson Avenue, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.453782,-79.941287125
1,1,"1876 Parkview Blvd, Pittsburgh, PA 15217",1-2 Bed,844-228-9323,"$1,390 - 2,050",The Gateway at Summerset,"Parkview Boulevard, Summerset, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4158874,-79.9209462
2,2,"6350 Penn Ave, Pittsburgh, PA 15206",Studio - 2 Bed,844-814-2588,"$1,740 - 3,080",Bakery Living Orange,"6350, Penn Avenue, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4587677867345,-79.9191243438661
3,3,"4107 Willow St, Pittsburgh, PA 15201",Studio - 2 Bed,412-437-2173,"$1,313 - 3,128",The Foundry at 41st,"The Foundry at 41st, 4107, Willow Street, Lawrenceville, Central Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.47214545,-79.9640967542301
5,5,"1100 Liberty Ave, Pittsburgh, PA 15222",Studio - 2 Bed,866-350-8444,"$1,203 - 2,879",The Pennsylvanian,"Pittsburgh Union Station, 1100, Liberty Avenue, Strip District, PGH, Allegheny County, Pennsylvania, 15222, USA",40.44519175,-79.991439299587
7,7,"300 Heinz St, Pittsburgh, PA 15212",1-3 Bed,412-847-5081,"$1,195 - 3,725",Heinz Lofts,"300, Heinz Street, Troy Hill, PGH, Allegheny County, Pennsylvania, 15212, USA",40.454095,-79.991096
9,9,"5522 Baum Blvd, Pittsburgh, PA 15232",Studio - 3 Bed,844-762-5514,"$952 - 3,042",Ollie at Baumhaus,"Ollie at Baumhaus, 5522, Baum Boulevard, Friendship, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4573252,-79.9363714977744
11,11,"3922 Foster St, Pittsburgh, PA 15201",Studio - 3 Bed,844-831-9422,"$995 - 3,080",Arsenal 201,"Foster Street, Lower Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.4699532,-79.9635357
12,12,"26 S 28th St, Pittsburgh, PA 15203",1-2 Bed,844-430-5599,"$995 - 1,374",Live South Side,"26, South 28th Street, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4257671518772,-79.9664264630501
18,18,"2501 Liberty Ave, Pittsburgh, PA 15222",1-2 Bed,412-437-2361,"$1,395 - 2,455",The Brake House Lofts,"Liberty Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4413713,-80.0040507
19,19,"2349 Railroad St, Pittsburgh, PA 15222",1-3 Bed,866-626-1231,"$1,635 - 7,898",The Cork Factory Lofts,"Bridgestreet at The Cork Factory, 2349, Railroad Street, Strip District, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4548656,-79.9827251168269
20,20,"475 Garner Ct, Pittsburgh, PA 15213",1-3 Bed,844-209-9199,"$1,095 - 2,175",Oak Hill Apartments,"475, Garner Court, Oak Hill Apartments, Terrace Village, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4423354288569,-79.9704125966193
21,21,"651 Oaklynn Ct, Pittsburgh, PA 15220",Studio - 3 Bed,412-253-4242,"$730 - 1,490",Crane Village Apartments,"651, Oaklynn Court, Crane Village, Banksville, PGH, Allegheny County, Pennsylvania, 15220, USA",40.4154684725044,-80.0335259392946
22,22,"717 Liberty Ave, Pittsburgh, PA 15222",1-2 Bed,412-223-9839,"$1,250 - 1,995",The Clark Building,"717, Liberty Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4425722827309,-79.999693523422
23,23,"611 William Penn Pl, Pittsburgh, PA 15219",1-3 Bed,412-620-6372,"$1,250 - 2,300",The Residences at the Historic Alcoa Building,"611, William Penn Place, Downtown, PGH, Allegheny County, Pennsylvania, 15219, USA",40.4412988133289,-79.9967525189058
