,id,name,city,address,address_geo,latitude,longitude
2,https://www.bringfido.com/attraction/3370,Riverview Dog Park,"Pittsburgh, PA","50 Riverview Ave, Pittsburgh, PA 15214","50, Riverview Avenue, Perry North, PGH, Allegheny County, Pennsylvania, 15214, USA",40.4846337,-80.0170488
3,https://www.bringfido.com/attraction/2513,Frick Park Off Leash Exercise Area,"Pittsburgh, PA","1200 Lancaster Ave, Pittsburgh, PA, US, 15218","1200, Lancaster Avenue, Regent Square, Swissvale, Allegheny County, Pennsylvania, 15218, USA",40.429949,-79.897198
5,https://www.bringfido.com/attraction/705,White Oak Park,"Pittsburgh, PA","3 Muse Ln, White Oak, PA 15131","3, Muse Lane, White Oak, Allegheny County, Pennsylvania, 15131, USA",40.3412804126563,-79.7782404974738
6,https://www.bringfido.com/attraction/10041,Point State Park,"Pittsburgh, PA","601 Commonwealth Pl, Pittsburgh, PA 15222","601, Commonwealth Place, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4399668918919,-80.0071146486487
7,https://www.bringfido.com/attraction/10585,Emerald View Park,"Pittsburgh, PA","301 Shiloh St, Pittsburgh, PA, US, 15211","Mount Washington Community Development Corporation, 301, Shiloh Street, Mount Washington, PGH, Allegheny County, Pennsylvania, 15211, USA",40.42921265,-80.0071864128895
9,https://www.bringfido.com/attraction/7565,Great Allegheny Passage (Trail System Overview),"Pittsburgh, PA","199 Boundary St, Pittsburgh, PA, US, 15213","199, Boundary Street, Panther Hollow, Central Oakland, PGH, Allegheny County, Pennsylvania, 15213, USA",40.4334782602465,-79.950024188829
13,https://www.bringfido.com/attraction/16334,Bernard Dog Run,"Pittsburgh, PA","Hazelwood Trail, Pittsburgh, PA, US, 15201","Hazelwood Trail, Pittsburgh Technology Center, Hazelwood, PGH, Allegheny County, Pennsylvania, 15213-4026, USA",40.4282364,-79.9580716
15,https://www.bringfido.com/attraction/3472,Sewickley Heights Borough Park Off Leash Area,"Sewickley Heights, PA","1901 Glen Mitchell Rd, Sewickley Heights, PA, US, 15143","1901, Glen Mitchell Road, Sewickley Heights, Allegheny County, Pennsylvania, 15143, USA",40.5454405753938,-80.1479989781764
16,https://www.bringfido.com/attraction/3230,Penn Hills Dog Park,"Penn Hills, PA","754 Jefferson Rd, Penn Hills, PA, US, 15235","Penn Hills Dog Park, 754, Jefferson Road, Shadow Shuttle, Penn Hills, Allegheny County, Pennsylvania, 15235, USA",40.4560804,-79.8161608950774
22,https://www.bringfido.com/attraction/10668,North Park Dog Park,"Allison Park, PA",North Park Dog Park,"Dog park, Middle Island, Suffolk County, New York, 11953, USA",40.8879714,-72.9277337
