,id,name,city,address_geo,latitude,longitude
0,https://www.bringfido.com/restaurant/11371,Double Wide Grill,"Pittsburgh, PA","Double Wide Grill, 2339, East Carson Street, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4285597,-79.9713057487038
1,https://www.bringfido.com/restaurant/10926,Redfin Blues,"Pittsburgh, PA","Redfin Blues, 100, Waterfront Drive, Troy Hill, PGH, Allegheny County, Pennsylvania, 15222, USA",40.46315655,-79.9773729568752
4,https://www.bringfido.com/restaurant/9239,Cappy's Cafe,"Pittsburgh, PA","Cappy's Cafe, Telegraph Way, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.451078,-79.9343686
8,https://www.bringfido.com/restaurant/417,Panera Bread,"Pittsburgh, PA","Panera Bread, 5430, Centre Avenue, Friendship, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4560504,-79.9374331358928
9,https://www.bringfido.com/restaurant/10491,Silky's Pub,"Pittsburgh, PA","Silky's, Darlington Road, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4370993,-79.9227074
14,https://www.bringfido.com/restaurant/19526,Social,"Pittsburgh, PA","Social, Bakery Square Boulevard, Bakery Square, Larimer, PGH, Allegheny County, Pennsylvania, 15206-4320, USA",40.4568414,-79.9160239
19,https://www.bringfido.com/restaurant/18943,Wallace's TapRoom,"Pittsburgh, PA","Wallace's Taproom, 123, North Highland Avenue, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.462388,-79.9246112
28,https://www.bringfido.com/restaurant/68050,Federal Galley,"Pittsburgh, PA","Federal Galley, Childrens Way, Allegheny Center, PGH, Allegheny County, Pennsylvania, 14233, USA",40.45151885,-80.0060292842295
36,https://www.bringfido.com/restaurant/34317,The Vandal,"Pittsburgh, PA","The Vandal, Butler Street, Lawrenceville, Central Lawrenceville, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4708086,-79.9599993
39,https://www.bringfido.com/restaurant/60985,Pamela's Diner,"Pittsburgh, PA","Pamela's Diner, Walnut Street, Shadyside, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4515853,-79.9328275
