,address,beds,phone,price,title,address_geo,latitude,longitude,lat_rad,long_rad,parkScore,restaurantScore,serviceScore,newRestaurantScore,newParkScore,newServiceScore
0,"401 Amberson Ave, Pittsburgh, PA 15232",1-2 Bed,412-208-4328,"$1,395 - 1,860",Shadyside Commons,"401, Amberson Avenue, Shadyside, PGH, Allegheny County, Pennsylvania, 15232, USA",40.453782,-79.941287125,0.7060516907840166,-1.3952386686134017,[10.64523382],[11.29679308],[10.87999759],98,86,99
1,"1876 Parkview Blvd, Pittsburgh, PA 15217",1-2 Bed,844-228-9323,"$1,390 - 2,050",The Gateway at Summerset,"Parkview Boulevard, Summerset, Squirrel Hill South, PGH, Allegheny County, Pennsylvania, 15217, USA",40.4158874,-79.9209462,0.7053903052452906,-1.3948836524992505,[10.7317424],[11.11124682],[10.79197245],85,98,87
2,"6350 Penn Ave, Pittsburgh, PA 15206",Studio - 2 Bed,844-814-2588,"$1,740 - 3,080",Bakery Living Orange,"6350, Penn Avenue, East Liberty, PGH, Allegheny County, Pennsylvania, 15206, USA",40.4587677867345,-79.9191243438661,0.706138709178336,-1.3948518551112163,[10.57583631],[11.22084229],[10.86691797],93,77,97
3,"4107 Willow St, Pittsburgh, PA 15201",Studio - 2 Bed,412-437-2173,"$1,313 - 3,128",The Foundry at 41st,"The Foundry at 41st, 4107, Willow Street, Lawrenceville, Central Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.47214545,-79.9640967542301,0.7063721934485421,-1.395636771744626,[10.48973614],[11.21895582],[10.80928034],93,66,89
4,"1100 Liberty Ave, Pittsburgh, PA 15222",Studio - 2 Bed,866-350-8444,"$1,203 - 2,879",The Pennsylvanian,"Pittsburgh Union Station, 1100, Liberty Avenue, Strip District, PGH, Allegheny County, Pennsylvania, 15222, USA",40.44519175,-79.991439299587,0.7059017626379472,-1.39611398918698,[10.62105927],[11.23519026],[10.78969465],94,83,87
5,"300 Heinz St, Pittsburgh, PA 15212",1-3 Bed,412-847-5081,"$1,195 - 3,725",Heinz Lofts,"300, Heinz Street, Troy Hill, PGH, Allegheny County, Pennsylvania, 15212, USA",40.454095,-79.991096,0.7060571536645756,-1.396107997478866,[10.58482737],[11.2203221],[10.7903925],93,78,87
6,"5522 Baum Blvd, Pittsburgh, PA 15232",Studio - 3 Bed,844-762-5514,"$952 - 3,042",Ollie at Baumhaus,"Ollie at Baumhaus, 5522, Baum Boulevard, Friendship, PGH, Allegheny County, Pennsylvania, 15232, USA",40.4573252,-79.9363714977744,0.7061135312900734,-1.3951528747335145,[10.61504026],[11.28004006],[10.87516659],97,82,98
7,"3922 Foster St, Pittsburgh, PA 15201",Studio - 3 Bed,844-831-9422,"$995 - 3,080",Arsenal 201,"Foster Street, Lower Lawrenceville, PGH, Allegheny County, Pennsylvania, 15201, USA",40.4699532,-79.9635357,0.7063339314680153,-1.3956269795010285,[10.5116604],[11.23389637],[10.81960527],94,69,91
8,"26 S 28th St, Pittsburgh, PA 15203",1-2 Bed,844-430-5599,"$995 - 1,374",Live South Side,"26, South 28th Street, South Side Flats, PGH, Allegheny County, Pennsylvania, 15203, USA",40.4257671518772,-79.9664264630501,0.7055627394448277,-1.395677432834148,[10.71747821],[11.26624101],[10.81786027],96,96,91
9,"2501 Liberty Ave, Pittsburgh, PA 15222",1-2 Bed,412-437-2361,"$1,395 - 2,455",The Brake House Lofts,"Liberty Avenue, Downtown, PGH, Allegheny County, Pennsylvania, 15222, USA",40.4413713,-80.0040507,0.7058350832065394,-1.396334099647474,[10.58438875],[11.17247982],[10.73201529],89,78,79
